Participant_ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
35,C7,I9,D8,G1,I3,C2,A8,B7,H9,I7,F8,D1,D9,F9,D6,D4,F6,G4,I4,B3,C1,E1,E3
9,I3,G1,C2,E3,B3,B7,C1,D1,E1,C7,A8,I9,D8,I4,G4,I7,H9,D4,F8,F6,D6,D9,F9
37,A8,D8,F8,C7,B7,B3,D9,F9,D6,D4,F6,D1,C1,C2,I3,G1,G4,I4,E1,E3,I9,H9,I7
31,C7,I9,D8,G1,C2,C1,B3,D1,E1,E3,I3,I4,G4,F6,D6,D4,A8,B7,H9,I7,F9,D9,F8
30,H9,C7,I9,D8,G1,C2,I3,A8,B7,I7,I4,G4,F6,C1,B3,F8,F9,D9,D6,D4,E1,E3,D1
27,C7,I9,H9,I7,B7,A8,G1,I3,I4,G4,D4,F6,-F6,F6,D6,E3,E1,D1,C1,C2,B3,F9,F8,D9,D8
26,C7,B3,B7,-B7,C1,B7,A8,C2,D9,D8,D1,F6,E1,E3,D4,F8,D6,F9,H9,G1,G4,I4,I3,I9,I7
25,C2,A8,H9,C7,B7,I7,I9,D8,B3,C1,I3,I4,G4,G1,D4,F6,D6,F8,F9,D9,D1,E1,E3
23,G1,I3,B3,E3,G4,I4,D4,H9,E1,D1,C1,C2,B7,A8,C7,I7,I9,D8,F8,D9,F9,F6,D6
18,C1,E3,B3,E1,D1,I3,C2,G1,G4,F6,D4,I4,D6,B7,F8,D9,I7,H9,F9,A8,D8,C7,-D8,D8,I9
17,C7,D1,E1,E3,G1,I3,B3,C2,C1,B7,A8,I7,I9,H9,D8,I4,D4,G4,F6,D6,F8,F9,D9
11,C7,I9,D8,G1,C2,A8,I3,I4,D9,F8,F9,H9,I7,B7,C1,B3,D4,E1,E3,D1,D6,F6,G4
10,C7,I7,B7,A8,I9,H9,I3,I4,B3,C2,G1,C1,D1,E1,E3,D4,G4,D8,F8,D6,F6,D9,F9
8,C2,G1,I3,D1,E3,E1,B3,C1,I4,G4,D4,D6,F6,C7,D8,I9,H9,A8,B7,F8,F9,D9,I7
7,C2,A8,G4,G1,I4,D4,H9,E1,E3,B3,I3,D1,C1,C7,B7,I7,I9,F9,D9,F6,F8,D8,D6
32,C7,I9,D8,G1,I3,A8,B7,C1,F6,G4,I4,C2,B3,E1,D1,E3,D6,D4,F8,F9,D9,H9,I7
29-1,C7,I7,B7,B3,A8,I3,E3,G1,G4,I4,D4,D6,F6,C2,C1,E1,D1,-D6,-F6
29-2,C7,I9,D8,A8,B7,B3,C1,C2,I4,G4,D4,D6,F6,F8,F9,D9,H9,I7,I3,G1,D1,E1,E3
15,C7,I9,D8,G1,C2,I3,A8,B7,I7,I4,H9,G4,D4,F8,D1,E1,E3,B3,C1,F6,D6,F9,D9

Sauto-Seed0-WS,D2,H2,C3,E9,B6,E1,F9,C2,A7,H4,F6,B7,A8,H5,I4,G4,D1,B5,C7,E5,A6,G1,C1,E3,G8,H9,I9,D9,I7,F8,D8,D6,G3,I3,D4,B3,
Sauto-Seed1-WS,H4,H5,E5,B6,G3,C3,G8,A7,B5,I9,I7,H2,D2,G4,C2,A6,I3,B3,G1,C1,B7,I4,E9,E3,E1,A8,D4,D6,D1,D9,H9,F9,C7,F8,F6,D8,
Sauto-Seed2-WS,H5,D2,H2,C2,C1,C3,B3,D6,B6,G8,H4,G3,C7,A6,E1,I3,A8,B5,G4,E5,E9,F8,I4,D1,G1,F9,H9,D8,D9,F6,I7,I9,E3,D4,A7,B7,
Sauto-Seed3-WS,G8,B6,A6,A8,D2,C3,E1,G3,I3,E9,D1,E5,C2,G4,E3,G1,C1,B5,I9,D6,F9,C7,B7,D9,F6,F8,D4,H4,B3,I7,H5,A7,H2,H9,D8,I4,
Sauto-Seed4-WS,E9,B6,H5,B5,G8,G4,B3,A6,E3,B7,F9,A8,A7,D2,E1,D1,G1,G3,C7,H4,D4,C2,I3,D6,I9,H2,C3,F8,I7,I4,C1,D8,E5,F6,H9,D9,
